%year month day hour minute sea-level-height flag1 flag2
2004 01 01 00 00 0.297 0.003 0
2004 01 01 01 00 0.302 0.002 0
2004 01 01 02 00 0.295 0.006 0
2004 01 01 03 00 0.280 0.003 0
2004 01 01 04 00 0.236 0.004 0
2004 01 01 05 00 0.192 0.003 0
2004 01 01 06 00 0.164 0.002 0
2004 01 01 07 00 0.153 0.003 0
2004 01 01 08 00 0.126 0.002 0
2004 01 01 09 00 0.094 0.002 0
2004 01 01 10 00 0.067 0.002 0
2004 01 01 11 00 0.069 0.002 0
2004 01 01 12 00 0.080 0.001 0
2004 01 01 13 00 0.100 0.002 0
2004 01 01 14 00 0.142 0.002 0
2004 01 01 15 00 0.159 0.003 0
2004 01 01 16 00 0.200 0.005 0
2004 01 01 17 00 0.218 0.003 0
2004 01 01 18 00 0.251 0.003 0
2004 01 01 19 00 0.291 0.003 0
2004 01 01 20 00 0.324 0.006 0
2004 01 01 21 00 0.344 0.005 0
2004 01 01 22 00 0.336 0.006 0
2004 01 01 23 00 0.353 0.004 0
2004 01 02 00 00 0.366 0.002 0
2004 01 02 01 00 0.349 0.002 0
2004 01 02 02 00 0.329 0.003 0
2004 01 02 03 00 0.313 0.002 0
2004 01 02 04 00 0.280 0.003 0
2004 01 02 05 00 0.213 0.004 0
2004 01 02 06 00 0.165 0.003 0
2004 01 02 07 00 0.112 0.002 0
2004 01 02 08 00 0.082 0.002 0
2004 01 02 09 00 0.061 0.004 0
2004 01 02 10 00 0.033 0.003 0
2004 01 02 11 00 0.012 0.005 0
2004 01 02 12 00 0.014 0.004 0
2004 01 02 13 00 0.059 0.002 0
2004 01 02 14 00 0.091 0.004 0
2004 01 02 15 00 0.130 0.003 0
2004 01 02 16 00 0.169 0.002 0
2004 01 02 17 00 0.213 0.003 0
2004 01 02 18 00 0.260 0.002 0
2004 01 02 19 00 0.300 0.002 0
2004 01 02 20 00 0.327 0.004 0
2004 01 02 21 00 0.378 0.007 0
2004 01 02 22 00 0.387 0.006 0
2004 01 02 23 00 0.395 0.004 0
2004 01 03 00 00 0.371 0.003 0
2004 01 03 01 00 0.377 0.003 0
2004 01 03 02 00 0.375 0.003 0
2004 01 03 03 00 0.322 0.003 0
2004 01 03 04 00 0.258 0.005 0
2004 01 03 05 00 0.207 0.006 0
2004 01 03 06 00 0.148 0.003 0
2004 01 03 07 00 0.093 0.001 0
2004 01 03 08 00 0.049 0.004 0
2004 01 03 09 00 -0.008 0.001 0
2004 01 03 10 00 -0.017 0.017 0
2004 01 03 11 00 -0.037 0.003 0
2004 01 03 12 00 -0.043 0.003 0
2004 01 03 13 00 -0.018 0.005 0
2004 01 03 14 00 0.038 0.005 0
2004 01 03 15 00 0.100 0.003 0
2004 01 03 16 00 0.136 0.005 0
2004 01 03 17 00 0.175 0.003 0
2004 01 03 18 00 0.218 0.005 0
2004 01 03 19 00 0.265 0.002 0
2004 01 03 20 00 0.318 0.003 0
2004 01 03 21 00 0.355 0.003 0
